"area_code","region_name","nuts1","rate_code","rate_name","best_lag_m","best_corr_val","n_overlap_best"
"E12000002","North West","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.531","101"
"E12000003","Yorkshire and The Humber","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.462","101"
"E12000003","Yorkshire and The Humber","England (by parts)","CFMZ6JO","Floating rate",6,"-0.412","101"
"E12000003","Yorkshire and The Humber","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.443","101"
"E12000003","Yorkshire and The Humber","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.521","101"
"E12000004","East Midlands","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.662","101"
"E12000004","East Midlands","England (by parts)","CFMZ6JO","Floating rate",6,"-0.630","101"
"E12000004","East Midlands","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.644","101"
"E12000004","East Midlands","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.686","101"
"E12000006","East of England","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.554","101"
"E12000006","East of England","England (by parts)","CFMZ6JO","Floating rate",6,"-0.555","101"
"E12000006","East of England","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.541","101"
"E12000006","East of England","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.536","101"
"E12000007","London","London","CFMZ6JM","New mortgages (all)",6,"-0.520","101"
"E12000007","London","London","CFMZ6JO","Floating rate",6,"-0.513","101"
"E12000007","London","London","CFMZ6JX","Fixed ≤2y",6,"-0.508","101"
"E12000007","London","London","CFMZ6K3","Fixed 5y",6,"-0.515","101"
"E12000008","South East","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.566","101"
"E12000008","South East","England (by parts)","CFMZ6JO","Floating rate",6,"-0.547","101"
"E12000008","South East","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.547","101"
"E12000008","South East","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.575","101"
"E12000009","South West","England (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.609","101"
"E12000009","South West","England (by parts)","CFMZ6JO","Floating rate",6,"-0.569","101"
"E12000009","South West","England (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.588","101"
"E12000009","South West","England (by parts)","CFMZ6K3","Fixed 5y",6,"-0.643","101"
"E92000001","England","UK (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.579","101"
"E92000001","England","UK (by parts)","CFMZ6JO","Floating rate",6,"-0.549","101"
"E92000001","England","UK (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.561","101"
"E92000001","England","UK (by parts)","CFMZ6K3","Fixed 5y",6,"-0.606","101"
"K02000001","United Kingdom","UK","CFMZ6JM","New mortgages (all)",6,"-0.572","101"
"K02000001","United Kingdom","UK","CFMZ6JO","Floating rate",6,"-0.536","101"
"K02000001","United Kingdom","UK","CFMZ6JX","Fixed ≤2y",6,"-0.552","101"
"K02000001","United Kingdom","UK","CFMZ6K3","Fixed 5y",6,"-0.608","101"
"N92000001","Northern Ireland","UK (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.231","101"
"N92000001","Northern Ireland","UK (by parts)","CFMZ6JO","Floating rate",3,"-0.173","104"
"N92000001","Northern Ireland","UK (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.207","101"
"N92000001","Northern Ireland","UK (by parts)","CFMZ6K3","Fixed 5y",6,"-0.316","101"
"S92000003","Scotland","UK (by parts)","CFMZ6JM","New mortgages (all)",3,"-0.402","104"
"S92000003","Scotland","UK (by parts)","CFMZ6JO","Floating rate",3,"-0.335","104"
"S92000003","Scotland","UK (by parts)","CFMZ6JX","Fixed ≤2y",3,"-0.378","104"
"S92000003","Scotland","UK (by parts)","CFMZ6K3","Fixed 5y",3,"-0.484","104"
"W92000004","Wales","UK (by parts)","CFMZ6JM","New mortgages (all)",6,"-0.594","101"
"W92000004","Wales","UK (by parts)","CFMZ6JO","Floating rate",6,"-0.537","101"
"W92000004","Wales","UK (by parts)","CFMZ6JX","Fixed ≤2y",6,"-0.570","101"
"W92000004","Wales","UK (by parts)","CFMZ6K3","Fixed 5y",6,"-0.664","101"
